"","RNAi.well","ORF","GeneID","public.name","gene.other.ids","Nonv","Vpep","Simmer"
"10001@A01","GHR-10001@A1","F32D8.6","WBGene00001303","emo-1","F32D8.6, emo-1, oar-1, CELE_F32D8.6",NA,NA,NA
"10001@A02","GHR-10001@A2","C34B2.10","WBGene00016395",NA,"C34B2.10, phi-56, CELE_C34B2.10",NA,NA,NA
"10001@A04","GHR-10001@A4","F53A3.3","WBGene00004491","rps-22","F53A3.3, rps-22, CELE_F53A3.3",NA,NA,NA
"10001@A06","GHR-10001@A6","W08E3.1","WBGene00004915","snr-2","W08E3.1, snr-2, CELE_W08E3.1",NA,NA,NA
"10001@A07","GHR-10001@A7","F46A9.5","WBGene00004807","skr-1","F46A9.5, skr-1, CELE_F46A9.5",NA,NA,NA
"10001@A08","GHR-10001@A8","T19B4.3","WBGene00020557",NA,"T19B4.3, 1G247, CELE_T19B4.3",NA,NA,NA
"10001@A09","GHR-10001@A9","Y65B4BR.5","WBGene00022042","icd-2","Y65B4BR.5, icd-2, CELE_Y65B4BR.5",NA,NA,NA
"10001@A10","GHR-10001@A10","F47G9.1","WBGene00009829",NA,"F47G9.1, CELE_F47G9.1",NA,NA,NA
"10001@A11","GHR-10001@A11","K01G5.4","WBGene00004302","ran-1","K01G5.4, ran-1, CELE_K01G5.4",NA,NA,NA
"10001@B02","GHR-10001@B2","T10H9.4","WBGene00004897","snb-1","T10H9.4, snb-1, VAMP/1, sup-8, CELE_T10H9.4",NA,"Unc/Slu","Unc/Slu"
"10001@B03","GHR-10001@B3","C32D5.9","WBGene00002980","lgg-1","C32D5.9, lgg-1, 2G636, atg-8.1, CELE_C32D5.9",NA,NA,NA
"10001@B05","GHR-10001@B5","F52B5.6","WBGene00004439","rpl-25.2","F52B5.6, rpl-25.2, CELE_F52B5.6",NA,NA,NA
"10001@B06","GHR-10001@B6","C56C10.8","WBGene00002045","icd-1","C56C10.8, icd-1, CELE_C56C10.8",NA,NA,NA
"10001@B08","GHR-10001@B8","C27B7.8","WBGene00004307","rap-1","C27B7.8, rap-1, rrp-1, CELE_C27B7.8",NA,NA,NA
"10001@B09","GHR-10001@B9","T22F3.4","WBGene00004422","rpl-11.1","T22F3.4, rpl-11.1, nog-1, CELE_T22F3.4",NA,NA,NA
"10001@B10","GHR-10001@B10","C35B1.1","WBGene00006701","ubc-1","C35B1.1, ubc-1, CELE_C35B1.1",NA,NA,NA
"10001@B11","GHR-10001@B11","K08D10.3","WBGene00004386","rnp-3","K08D10.3, rnp-3, CELE_K08D10.3",NA,NA,NA
"10001@C01","GHR-10001@C1","R09B3.2","WBGene00011155",NA,"R09B3.2, CELE_R09B3.2",NA,NA,NA
"10001@C02","GHR-10001@C2","W10D9.5","WBGene00021133","tomm-22","W10D9.5, tomm-22, CELE_W10D9.5",NA,NA,NA
"10001@C04","GHR-10001@C4","C37A2.7","WBGene00016493",NA,"C37A2.7, CELE_C37A2.7",NA,NA,NA
"10001@C06","GHR-10001@C6","F32H2.2","WBGene00007026","mdt-31","F32H2.2, mdt-31, CELE_F32H2.2",NA,NA,NA
"10001@C07","GHR-10001@C7","F42F12.4","WBGene00009636",NA,"F42F12.4, CELE_F42F12.4",NA,NA,NA
"10001@C08","GHR-10001@C8","F23H12.2","WBGene00009092","tomm-20","F23H12.2, tomm-20, CELE_F23H12.2",NA,NA,NA
"10001@C10","GHR-10001@C10","C39F7.4","WBGene00004266","rab-1","C39F7.4, rab-1, CELE_C39F7.4",NA,NA,NA
"10001@C11","GHR-10001@C11","T13C5.4","WBGene00020485","ceh-54","T13C5.4, ceh-54, CELE_T13C5.4",NA,NA,NA
"10001@D01","GHR-10001@D1","ZK652.1","WBGene00004918","snr-5","ZK652.1, snr-5, CELE_ZK652.1",NA,NA,NA
"10001@D03","GHR-10001@D3","T13F2.2","WBGene00011743",NA,"T13F2.2, CELE_T13F2.2",NA,NA,NA
"10001@D04","GHR-10001@D4","F45E1.6","WBGene00001945","his-71","F45E1.6, his-71, CELE_F45E1.6",NA,NA,NA
"10001@D06","GHR-10001@D6","F58A4.10","WBGene00006704","ubc-7","F58A4.10, ubc-7, CELE_F58A4.10",NA,NA,NA
"10001@D07","GHR-10001@D7","E04A4.5","WBGene00017119",NA,"E04A4.5, CELE_E04A4.5",NA,NA,NA
"10001@D08","GHR-10001@D8","F46H6.1","WBGene00004356","rhi-1","F46H6.1, rhi-1, CELE_F46H6.1",NA,NA,NA
"10001@D09","GHR-10001@D9","F15H10.3","WBGene00000144","apc-10","F15H10.3, apc-10, CELE_F15H10.3",NA,NA,NA
"10001@D10","GHR-10001@D10","R12E2.13","WBGene00020038",NA,"R12E2.13, CELE_R12E2.13",NA,NA,NA
"10001@D11","GHR-10001@D11","F36D4.2","WBGene00018088","trpp-4","F36D4.2, trpp-4, CELE_F36D4.2",NA,NA,NA
"10001@E01","GHR-10001@E1","Y49E10.15","WBGene00004919","snr-6","Y49E10.15, snr-6, CELE_Y49E10.15",NA,NA,NA
"10001@E04","GHR-10001@E4","C06A1.5","WBGene00007355","rpb-6","C06A1.5, rpb-6, CELE_C06A1.5",NA,NA,NA
"10001@E05","GHR-10001@E5","Y77E11A.13","WBGene00003806","npp-20","Y77E11A.13, npp-20, CeSec13R, Y77E11A_3670.c, CELE_Y77E11A.13",NA,NA,NA
"10001@E06","GHR-10001@E6","F29B9.6","WBGene00006706","ubc-9","F29B9.6, ubc-9, CELE_F29B9.6","Emb, Ste","Sck","Emb, Ste, Sck"
"10001@E07","GHR-10001@E7","ZK1098.5","WBGene00014222","trpp-3","ZK1098.5, trpp-3, CELE_ZK1098.5",NA,NA,NA
"10001@E08","GHR-10001@E8","R07G3.1","WBGene00000390","cdc-42","R07G3.1, cdc-42, CELE_R07G3.1","Emb/Ste",NA,"Emb/Ste"
