WBGene00001908	F17E9.9	locomotion variant, avoids bacterial lawn, RAB-11 recycling endosome localization variant, body elongation defective, chromosome segregation variant, chromosome condensation variant, maternal sterile, anaphase bridging, slow growth, cell corpse degradation variant, RAB-11 recycling endosome morphology variant, pharyngeal development variant, embryonic arrest, larval arrest, embryonic lethal, transgene subcellular localization variant, accumulated cell corpses, sister chromatid segregation defective early emb
WBGene00019433	K06A5.6	peptide uptake by intestinal cell decreased, embryonic lethal
WBGene00002090	ZK1251.2	extended life span, pathogen resistance increased, transgene subcellular localization variant, shortened life span, transgene expression increased, life span variant, protein subcellular localization variant
WBGene00017403	F12E12.2	fat content increased
WBGene00020874	T28A11.7	dauer lifespan extended
WBGene00077568	C56A3.10	germ cell partition morphology variant, nuclear fallout, sterile, rachis wide, oocyte number decreased, nuclei small, germ cell compartment morphology variant, centrosome attachment defective early emb, apoptosis variant, maternal sterile, oogenesis variant, germ cell compartment size variant, rachis morphology variant, accumulated germline cell corpses, germ cell mitosis variant, germline nuclear positioning variant, larval arrest, embryonic lethal, meiotic progression prophase variant, germ cell compartment expansion variant
WBGene00004994	T25C12.2	organism osmotic stress response variant
WBGene00018390	F43E2.1	transgene induced cosuppression variant, sterile, embryonic lethal, dauer lifespan extended
WBGene00007110	B0035.11	sterile, locomotion variant, small, sterile progeny, organism morphology variant, sister cell division timing asynchrony reduced, late larval lethal, pattern of transgene expression variant, protruding vulva, slow growth, sick, larval arrest, embryonic lethal, transgene subcellular localization variant, receptor mediated endocytosis defective, reduced brood size, transgene expression increased
WBGene00010682	K08F8.5	transgene expression reduced, maternal sterile
WBGene00004931	F10D11.1	reduced brood size, life span variant, dauer constitutive, long defecation cycle
WBGene00020568	T19D2.3	cell secretion variant, fat content reduced, pattern of transgene expression variant
WBGene00004244	C30G12.7	masculinization of germline, tumorous germline, proximal germ cell proliferation variant, multivulva, maternal sterile, population fitness variant, fewer germ cells
WBGene00008684	F11A10.3	embryonic lethal
WBGene00010115	F55F3.1	age associated fluorescence increased, shortened life span, paraquat hypersensitive
WBGene00021625	Y47D7A.13	resistant to protein aggregation induced paralysis
WBGene00015159	B0361.5	slow growth, organism development variant, clear
WBGene00019400	K04G7.1	slow growth, sterile progeny, organism development variant, early larval arrest, late larval arrest, embryonic lethal, transgene subcellular localization variant, receptor mediated endocytosis defective, reduced brood size, pattern of transgene expression variant
WBGene00007508	C10C5.4	dauer constitutive
WBGene00003510	F40G9.11	rays displaced, age associated fluorescence increased, shortened life span
WBGene00006707	R09B3.4	cleavage furrow defective early emb, spindle position defective early emb, vulva morphology variant, locomotion variant, chemical hypersensitive, cytokinesis defective early emb, sterile progeny, apoptosis increased, tail morphology variant, comma arrest emb, posterior body morphology variant, breaks in alae, morphology variant, pronuclear migration defective early emb, everted vulva, cytokinesis variant emb, alae morphology variant, protruding vulva, sick, slow growth, accumulated germline cell corpses, bag of worms, thin, embryonic lethal, exploded through vulva, adult lethal
WBGene00022455	Y110A7A.4	embryonic lethal, reduced brood size, organism morphology variant
WBGene00007036	ZK430.3	antibody staining increased, protein phosphorylation increased, life span variant
WBGene00011980	T24B8.7	cell secretion variant, pattern of transgene expression variant, maternal sterile, dumpy, somatic transgene silencing variant, transgene expression increased, RNAi resistant
WBGene00018925	F56A11.5	dauer lifespan extended
WBGene00013895	ZC434.9	synapse density variant, motor neuron morphology variant, dauer lifespan extended, transgene subcellular localization variant
WBGene00003233	F45H11.4	embryonic lethal
WBGene00001001	C04G2.6	slow growth, sick, sterile progeny, small
WBGene00000232	B0207.12	locomotor coordination variant
WBGene00003808	T05A1.1	locomotion variant, locomotion reduced, kinker
WBGene00008404	D2013.6	sterile, slow growth, reduced brood size, receptor mediated endocytosis defective, pattern of transgene expression variant, sterile progeny
WBGene00003559	ZK112.2	somatic transgene silencing variant, transgene expression increased, RNAi resistant
WBGene00000864	F59H6.7	embryonic lethal, chromosome segregation variant karyomeres early emb
WBGene00001111	F29C4.5	aldicarb resistant
WBGene00016250	C30C11.4	protruding vulva, locomotion variant, larval lethal, slow growth, organism morphology variant, life span variant, protein aggregation variant, larval arrest, embryonic lethal, receptor mediated endocytosis defective, pattern of transgene expression variant, maternal sterile, exploded through vulva, developmental delay postembryonic
WBGene00013109	Y51H4A.15	slow growth, extended life span, fat content reduced, gonad development variant, larval arrest, embryonic lethal, paraquat resistant, transgene subcellular localization variant, patchy coloration, reduced brood size, sluggish, pattern of transgene expression variant, receptor mediated endocytosis defective
WBGene00011935	T22H2.5	accumulated germline cell corpses, transgene subcellular localization variant, pattern of transgene expression variant, engulfment variant, accumulated cell corpses, dauer constitutive
WBGene00021828	Y54E10A.6	meiosis variant, antibody staining increased, embryonic lethal, chromosome instability, fewer germ cells
WBGene00012467	Y17G7B.14	dauer lifespan extended
WBGene00012735	Y40B1A.4	apoptosis reduced, excretory canal morphology variant, rachis wide, locomotion variant, sterile progeny, organism morphology variant, tail morphology variant, germ cell compartment morphology variant, sister cell division timing asynchrony reduced, cell fate transformation, gonad morphology variant, pattern of transgene expression variant, dumpy, maternal sterile, transgene expression undetectable, oogenesis variant, protruding vulva, pharyngeal morphology variant, larval lethal, roller, larval arrest, cell migration variant, embryonic lethal, head morphology variant, shortened life span, exploded through vulva, reduced brood size, receptor mediated endocytosis defective, variable cell division timing
WBGene00003960	F54D5.1	cadmium hypersensitive, intestinal cell morphology variant
WBGene00021886	Y54G2A.21	slow growth
WBGene00003377	C39E6.4	M lineage variant
WBGene00021840	Y54E10BR.1	ventral closure defective, avoids bacterial lawn, sick, actin cytoskeleton filament morphology variant, larval arrest, embryonic lethal, epithelial morphology variant, transgene expression increased
