sjj_Y34D9A_152.d	WBGene00021328(npr-23),Y34D9A.2
mv_T06C12.2	WBGene00006122(str-57),T06C12.2
mv_G_YK815	WBGene00004459(rpn-2),C23G10.4
sjj_C47D12.2	WBGene00008136,C47D12.2
mv_C04E6.8	WBGene00015424,C04E6.8
smd_C16C8.17:2	WBGene00015854,C16C8.17
cenix:42-c10	WBGene00005095(srd-17),Y2H9A.2
TH:333D9	WBGene00013228,Y56A3A.7
sjj2_ZK1320.12a	WBGene00006390(taf-8),ZK1320.12
sjj_T28H10.1	WBGene00012142,T28H10.1
mv_F39D8.4	WBGene00003532(nas-13),F39D8.4
cenix:94-f9	WBGene00017744(fbxc-54),F23F1.3
mv_W09G10.4	WBGene00000162(apd-3),W09G10.4
mv_C03A7.5	WBGene00005929(srx-38),C03A7.5
sjj2_C25F9.9	WBGene00007728,C25F9.9
mv_Y37E11AR.d	WBGene00021369(siah-1),Y37E11AR.2
sjj_C17A2.4	WBGene00015872,C17A2.4
mv_W10G11.4	WBGene00021137,W10G11.4
cenix:304-c7	WBGene00018564,F47D12.9
cenix:97-d11	WBGene00019571,K09E2.2	WBGene00019572,K09E2.3
cenix:81-g9	WBGene00013525(irld-59),Y73F8A.18
mv_AAD42308	WBGene00003965(pdk-1),H42K12.1
mv_Y64G10A.7	WBGene00013416,Y64G10A.7
cenix:204-f3	WBGene00006626(tsn-1),F10G7.2
smd_D2045.5:2	WBGene00008423,D2045.5
mv_F58E10.5	WBGene00001311(end-3),F58E10.5
sjj_Y55F3A_739.a	WBGene00000816(csn-4),Y55F3AM.15
cenix:27-f2	WBGene00005666(sru-3),C33A12.11
sjj2_R11A8.8	WBGene00011241(mpz-5),R11A8.8
cenix:39-b1	WBGene00013224,Y55D9A.2
mv_C18E3.9	WBGene00015976,C18E3.9
mv_R07B5.7	WBGene00005671(sru-8),R07B5.7
cenix:98-h9	WBGene00000147(aph-1),VF36H2L.1
cenix:80-c6	WBGene00002205(kin-23),W04G5.6
sjj_T13C2.3	WBGene00020479,T13C2.3
mv_T05E8.2	WBGene00001859(hil-8),T05E8.2
cenix:28-d1	WBGene00003702(nhr-112),Y70C5C.6
cenix:219-b2	WBGene00007851(clec-245),C31G12.2
TH:301G1	WBGene00007134,B0284.4
mv_B0454.7	WBGene00015198(clec-2),B0454.7
sjj_F36D3.4	WBGene00009470,F36D3.4
cenix:175-a1	WBGene00018136,F37A4.6
sjj_F21H7.3	WBGene00009029,F21H7.3
cenix:219-h3	WBGene00016436,C35B1.7
cenix:16-f10	WBGene00022751,ZK484.5
sjj_F41D3.11	WBGene00009616,F41D3.11
smd_C54F6.4	WBGene00016922(swt-2),C54F6.4
mv_R02D1.1	WBGene00003715(nhr-125),R02D1.1	WBGene00235310,R02D1.2
sjj_F32A6.3	WBGene00017974(vps-41),F32A6.3
cenix:147-e2	WBGene00017436,F13H8.3
mv_K09H11.5	WBGene00019602,K09H11.5
cenix:33-a12	WBGene00007852,C31G12.3
mv_Y25C1A.b	WBGene00021290(clec-122),Y25C1A.3
smd_F54A3_31.g	WBGene00018781,F54A3.2
cenix:86-g9	WBGene00019126(sam-4),F59E12.11
mv_Y32B12A.4	WBGene00012519,Y32B12A.4
cenix:149-c6	WBGene00006742(unc-2),T02C5.5
sjj_T13G4.c	WBGene00020492,T13G4.5
cenix:146-b1	WBGene00015854,C16C8.17	WBGene00195072,C16C8.22
sjj_T28C6.7	WBGene00012121,T28C6.7
cenix:178-c6	WBGene00006596(top-3),Y56A3A.27
sjj_Y44A6C.2	WBGene00012319(ipla-3),W07A8.2	WBGene00012851,Y44A6C.2
sjj2_Y57E12AL.6.1	WBGene00021959,Y57E12AL.6
sjj_F25B5.3	WBGene00017775,F25B5.3
sjj_Y48E1B.13	WBGene00000819(csp-1),Y48E1B.13
sjj_Y53C12C.1	WBGene00013147(eyg-1),Y53C12C.1
cenix:213-c3	WBGene00020882,T28A11.20
sjj_EEED8.8	WBGene00003583(ndx-6),EEED8.8
mv_C12D5.8	WBGene00003684(nhr-94),C12D5.8	WBGene00015712(sre-11),C12D5.11
cenix:135-c2	WBGene00008309(nhr-170),C54E10.5
smd_K04C2.2	WBGene00019380,K04C2.2
sjj_ZK370.7	WBGene00022721(ugtp-1),ZK370.7
mv_Y38F2AL.f	WBGene00021416(mksr-2),Y38F2AL.2
sjj_F19C7.8	WBGene00017597,F19C7.8
sjj_C01H6.5	WBGene00003622(nhr-23),C01H6.5
sjj_ZK39.7	WBGene00013931(clec-97),ZK39.6	WBGene00013932(clec-98),ZK39.7
cenix:217-f3	WBGene00000940(dcs-1),Y113G7A.9
mv_C46C2.3	WBGene00008111,C46C2.3
cenix:77-c10	WBGene00004771(sem-2),C32E12.5
cenix:222-b6	WBGene00004442(rpl-28),R11D1.8
sjj2_W05E10.5	WBGene00012282,W05E10.5
sjj_F42A10.6	WBGene00018342,F42A10.6
cenix:76-h11	WBGene00021645,Y47G6A.19
sjj_K07F5.6	WBGene00010634,K07F5.6
cenix:204-b8	WBGene00009204,F28C6.4
sjj_C13A2.6	WBGene00015723,C13A2.6
cenix:113-b5	WBGene00013296,Y57G11B.3
TH:320D8	WBGene00003478(mtm-6),F53A2.8
cenix:200-g1	WBGene00007352(cdc-48.1),C06A1.1
sjj_F16G10.11	WBGene00017526,F16G10.11
mv_Y54E10A.7	WBGene00021829(mrpl-17),Y54E10A.7
sjj_F20D12.2	WBGene00017642,F20D12.2
smd_F25B5.2	WBGene00017774(nop-1),F25B5.2
mv_D2092.2	WBGene00017064(ppfr-2),D2092.2
mv_F44A2.4	WBGene00018404(nhr-39),F44A2.4
sjj_K05F6.3	WBGene00019414(fbxb-51),K05F6.3
mv_K01A2.11b	WBGene00019285(cbn-1),K01A2.11
TH:322G11	WBGene00000960(dgk-3),F54G8.2
sjj_C26G2.1	WBGene00007750(syg-2),C26G2.1
TH:305G8	WBGene00018844,F54H12.4
TH:303B10	WBGene00022599,ZC395.10
sjj_Y27F2A.b	WBGene00021300,Y27F2A.9
sjj_Y46H3d.d	WBGene00021609(irld-17),Y46H3D.4
sjj_F19H8.1	WBGene00006603(tps-2),F19H8.1
mv_W03G9.3_1	WBGene00021034(enu-3.4),W05F2.2
sjj_Y50D4B_10.b	WBGene00021740,Y50D4B.1
mv_C49C3.1	WBGene00004908(snf-9),C49C3.1
mv_C03G5.1	WBGene00015391(sdha-1),C03G5.1
cenix:27-f12	WBGene00003705(nhr-115),T27B7.4
sjj_F42A8.3	WBGene00009627,F42A8.3
sjj_T21B4.10	WBGene00005294(srh-73),T21B4.14
smd_Y57A10A.d	WBGene00013249,Y57A10A.4
sjj_F57A10.3	WBGene00001813(haf-3),F57A10.3
TH:341B9_3_3	WBGene00017952,F31E3.6
cenix:182-e12	WBGene00008384,D1081.6
